Crop,District,Season,State,Year,Latitude (generated),Longitude (generated),Area(in Hectares),Production(in Tonnes)
Wheat,DIMAPUR,Rabi,NAGALAND,2010,25.9,93.733,370,630
Wheat,DIMAPUR,Rabi,NAGALAND,2008,25.9,93.733,190,280
Wheat,DIMAPUR,Rabi,NAGALAND,2007,25.9,93.733,150,270
Wheat,DIMAPUR,Rabi,NAGALAND,2006,25.9,93.733,400,280
Wheat,DIMAPUR,Rabi,NAGALAND,2005,25.9,93.733,310,400
Wheat,DIMAPUR,Rabi,NAGALAND,2004,25.9,93.733,1280,2230
Wheat,DIMAPUR,Rabi,NAGALAND,2003,25.9,93.733,2100,3830
Wheat,DIMAPUR,Rabi,NAGALAND,2002,25.9,93.733,2030,4310
Wheat,DIMAPUR,Rabi,NAGALAND,2001,25.9,93.733,1480,3810
Wheat,DIMAPUR,Rabi,NAGALAND,2000,25.9,93.733,1100,2500
Wheat,UDALGURI,Rabi,ASSAM,2010,26.766,92.133,1415,1163
Wheat,UDALGURI,Rabi,ASSAM,2009,26.766,92.133,2589,2815
Wheat,UDALGURI,Rabi,ASSAM,2008,26.766,92.133,1643,1292
Wheat,UDALGURI,Rabi,ASSAM,2007,26.766,92.133,3088,3099
Wheat,UDALGURI,Rabi,ASSAM,2006,26.766,92.133,5575,3351
Wheat,UDALGURI,Rabi,ASSAM,2005,26.766,92.133,4160,3844
Wheat,HAILAKANDI,Rabi,ASSAM,2010,24.683,92.566,50,63
Wheat,HAILAKANDI,Rabi,ASSAM,2009,24.683,92.566,35,38
Wheat,HAILAKANDI,Rabi,ASSAM,2007,24.683,92.566,70,88
Wheat,HAILAKANDI,Rabi,ASSAM,2006,24.683,92.566,35,40
Wheat,HAILAKANDI,Rabi,ASSAM,2005,24.683,92.566,4,
Wheat,HAILAKANDI,Rabi,ASSAM,2004,24.683,92.566,7,7
Wheat,HAILAKANDI,Rabi,ASSAM,2003,24.683,92.566,4,4
Wheat,HAILAKANDI,Rabi,ASSAM,2002,24.683,92.566,5,6
Wheat,HAILAKANDI,Rabi,ASSAM,2001,24.683,92.566,25,30
Wheat,HAILAKANDI,Rabi,ASSAM,2000,24.683,92.566,5,6
Wheat,HAILAKANDI,Rabi,ASSAM,1999,24.683,92.566,10,13
Wheat,HAILAKANDI,Rabi,ASSAM,1998,24.683,92.566,15,15
Urad,DIMAPUR,Rabi,NAGALAND,2010,25.9,93.733,110,80
Urad,DIMAPUR,Rabi,NAGALAND,2008,25.9,93.733,110,80
Urad,DIMAPUR,Rabi,NAGALAND,2006,25.9,93.733,320,370
Urad,UDALGURI,Rabi,ASSAM,2010,26.766,92.133,2317,994
Urad,UDALGURI,Rabi,ASSAM,2009,26.766,92.133,2118,1088
Urad,UDALGURI,Rabi,ASSAM,2008,26.766,92.133,2294,943
Urad,UDALGURI,Rabi,ASSAM,2007,26.766,92.133,2188,1337
Urad,UDALGURI,Rabi,ASSAM,2006,26.766,92.133,2100,1100
Urad,UDALGURI,Rabi,ASSAM,2005,26.766,92.133,1994,929
Urad,HAILAKANDI,Rabi,ASSAM,2010,24.683,92.566,235,131
Urad,HAILAKANDI,Rabi,ASSAM,2009,24.683,92.566,359,203
Urad,HAILAKANDI,Rabi,ASSAM,2008,24.683,92.566,370,215
Urad,HAILAKANDI,Rabi,ASSAM,2007,24.683,92.566,360,191
Urad,HAILAKANDI,Rabi,ASSAM,2006,24.683,92.566,346,178
Urad,HAILAKANDI,Rabi,ASSAM,2005,24.683,92.566,330,162
Urad,HAILAKANDI,Rabi,ASSAM,2004,24.683,92.566,350,201
Urad,HAILAKANDI,Rabi,ASSAM,2003,24.683,92.566,355,186
Urad,HAILAKANDI,Rabi,ASSAM,2002,24.683,92.566,360,179
Urad,HAILAKANDI,Rabi,ASSAM,2001,24.683,92.566,350,195
Turmeric,DIMAPUR,Kharif,NAGALAND,2008,25.9,93.733,250,1140
Turmeric,DIMAPUR,Kharif,NAGALAND,2007,25.9,93.733,40,170
Turmeric,CHURACHANDPUR,Whole year,MANIPUR,2002,24.333,93.666,60,40
Turmeric,CHURACHANDPUR,Whole year,MANIPUR,1999,24.333,93.666,20,10
Turmeric,CHURACHANDPUR,Winter,MANIPUR,1998,24.333,93.666,20,10
Turmeric,CHURACHANDPUR,Autumn,MANIPUR,1998,24.333,93.666,10,10
Turmeric,UDALGURI,Rabi,ASSAM,2010,26.766,92.133,621,379
Turmeric,UDALGURI,Rabi,ASSAM,2009,26.766,92.133,606,370
Turmeric,UDALGURI,Whole year,ASSAM,2008,26.766,92.133,558,340
Turmeric,UDALGURI,Whole year,ASSAM,2007,26.766,92.133,745,454
Turmeric,UDALGURI,Whole year,ASSAM,2006,26.766,92.133,820,500
Turmeric,UDALGURI,Whole year,ASSAM,2005,26.766,92.133,726,443
Turmeric,HAILAKANDI,Rabi,ASSAM,2010,24.683,92.566,250,126
Turmeric,HAILAKANDI,Rabi,ASSAM,2009,24.683,92.566,208,105
Turmeric,HAILAKANDI,Whole year,ASSAM,2008,24.683,92.566,230,116
Turmeric,HAILAKANDI,Whole year,ASSAM,2007,24.683,92.566,230,116
Turmeric,HAILAKANDI,Whole year,ASSAM,2006,24.683,92.566,225,114
Turmeric,HAILAKANDI,Whole year,ASSAM,2005,24.683,92.566,200,101
Turmeric,HAILAKANDI,Whole year,ASSAM,2004,24.683,92.566,200,101
Turmeric,HAILAKANDI,Whole year,ASSAM,2002,24.683,92.566,200,101
Turmeric,HAILAKANDI,Whole year,ASSAM,2001,24.683,92.566,170,86
Turmeric,HAILAKANDI,Whole year,ASSAM,2000,24.683,92.566,180,91
Turmeric,HAILAKANDI,Whole year,ASSAM,1999,24.683,92.566,200,101
Turmeric,HAILAKANDI,Whole year,ASSAM,1998,24.683,92.566,150,76
Tomato,CHURACHANDPUR,Whole year,MANIPUR,2003,24.333,93.666,50,400
Tomato,CHURACHANDPUR,Whole year,MANIPUR,2002,24.333,93.666,48,248
Tobacco,UDALGURI,Kharif,ASSAM,2010,26.766,92.133,2,1
Tobacco,UDALGURI,Kharif,ASSAM,2009,26.766,92.133,5,3
Tobacco,UDALGURI,Whole year,ASSAM,2007,26.766,92.133,2,1
Tobacco,UDALGURI,Whole year,ASSAM,2006,26.766,92.133,1,1
Tobacco,UDALGURI,Whole year,ASSAM,2005,26.766,92.133,2,1
Tobacco,HAILAKANDI,Kharif,ASSAM,2010,24.683,92.566,1,1
Tobacco,HAILAKANDI,Kharif,ASSAM,2009,24.683,92.566,1,1
Tobacco,HAILAKANDI,Whole year,ASSAM,2008,24.683,92.566,1,1
Tobacco,HAILAKANDI,Whole year,ASSAM,2006,24.683,92.566,1,1
Tobacco,HAILAKANDI,Whole year,ASSAM,2005,24.683,92.566,1,
Tobacco,HAILAKANDI,Whole year,ASSAM,2004,24.683,92.566,1,1
Tobacco,HAILAKANDI,Whole year,ASSAM,2002,24.683,92.566,1,1
Tobacco,HAILAKANDI,Whole year,ASSAM,2001,24.683,92.566,1,1
Tobacco,HAILAKANDI,Whole year,ASSAM,2000,24.683,92.566,1,1
Tobacco,HAILAKANDI,Whole year,ASSAM,1999,24.683,92.566,1,1
Tea,DIMAPUR,Kharif,NAGALAND,2007,25.9,93.733,260,1200
Tea,DIMAPUR,Whole year,NAGALAND,2003,25.9,93.733,260,1600
Tea,DIMAPUR,Whole year,NAGALAND,2002,25.9,93.733,210,1570
Tea,DIMAPUR,Whole year,NAGALAND,2001,25.9,93.733,190,1540
Tea,DIMAPUR,Whole year,NAGALAND,2000,25.9,93.733,170,1490
Tapioca,DIMAPUR,Kharif,NAGALAND,2010,25.9,93.733,90,2120
Tapioca,DIMAPUR,Kharif,NAGALAND,2008,25.9,93.733,150,3450
Tapioca,DIMAPUR,Kharif,NAGALAND,2007,25.9,93.733,80,1840
Tapioca,CHURACHANDPUR,Whole year,MANIPUR,2003,24.333,93.666,50,280
Tapioca,CHURACHANDPUR,Whole year,MANIPUR,2002,24.333,93.666,30,300
Tapioca,UDALGURI,Rabi,ASSAM,2010,26.766,92.133,266,1131
Tapioca,UDALGURI,Rabi,ASSAM,2009,26.766,92.133,257,1092
Tapioca,UDALGURI,Whole year,ASSAM,2008,26.766,92.133,223,948
Tapioca,UDALGURI,Whole year,ASSAM,2007,26.766,92.133,187,795
Tapioca,UDALGURI,Whole year,ASSAM,2006,26.766,92.133,197,837
Tapioca,UDALGURI,Whole year,ASSAM,2005,26.766,92.133,185,786
Tapioca,HAILAKANDI,Rabi,ASSAM,2010,24.683,92.566,4,18
Tapioca,HAILAKANDI,Rabi,ASSAM,2009,24.683,92.566,4,18
Tapioca,HAILAKANDI,Whole year,ASSAM,2008,24.683,92.566,3,14
Tapioca,HAILAKANDI,Whole year,ASSAM,2007,24.683,92.566,2,9
Tapioca,HAILAKANDI,Whole year,ASSAM,2006,24.683,92.566,3,13
Tapioca,HAILAKANDI,Whole year,ASSAM,2005,24.683,92.566,3,13
Tapioca,HAILAKANDI,Whole year,ASSAM,2003,24.683,92.566,7,31
Tapioca,HAILAKANDI,Whole year,ASSAM,2002,24.683,92.566,7,31
Tapioca,HAILAKANDI,Whole year,ASSAM,2000,24.683,92.566,5,22
Tapioca,HAILAKANDI,Whole year,ASSAM,1999,24.683,92.566,5,22
Tapioca,HAILAKANDI,Whole year,ASSAM,1998,24.683,92.566,5,22
Sweet potato,CHURACHANDPUR,Whole year,MANIPUR,2003,24.333,93.666,15,99
Sweet potato,CHURACHANDPUR,Whole year,MANIPUR,2002,24.333,93.666,5,25
Sweet potato,UDALGURI,Rabi,ASSAM,2010,26.766,92.133,218,545
Sweet potato,UDALGURI,Rabi,ASSAM,2009,26.766,92.133,236,590
Sweet potato,UDALGURI,Rabi,ASSAM,2008,26.766,92.133,154,385
Sweet potato,UDALGURI,Whole year,ASSAM,2007,26.766,92.133,255,638
Sweet potato,UDALGURI,Whole year,ASSAM,2006,26.766,92.133,325,813
Sweet potato,UDALGURI,Whole year,ASSAM,2005,26.766,92.133,260,653
Sweet potato,HAILAKANDI,Rabi,ASSAM,2010,24.683,92.566,50,161
Sweet potato,HAILAKANDI,Rabi,ASSAM,2009,24.683,92.566,52,168
Sweet potato,HAILAKANDI,Rabi,ASSAM,2008,24.683,92.566,40,129
Sweet potato,HAILAKANDI,Whole year,ASSAM,2007,24.683,92.566,50,160
Sweet potato,HAILAKANDI,Whole year,ASSAM,2006,24.683,92.566,65,211
Sweet potato,HAILAKANDI,Whole year,ASSAM,2005,24.683,92.566,60,192
Sweet potato,HAILAKANDI,Whole year,ASSAM,2004,24.683,92.566,80,254
Sweet potato,HAILAKANDI,Whole year,ASSAM,2003,24.683,92.566,70,235
Sweet potato,HAILAKANDI,Whole year,ASSAM,2002,24.683,92.566,80,247
Sweet potato,HAILAKANDI,Whole year,ASSAM,2001,24.683,92.566,80,247
Sweet potato,HAILAKANDI,Whole year,ASSAM,2000,24.683,92.566,5,19
Sweet potato,HAILAKANDI,Whole year,ASSAM,1999,24.683,92.566,90,278
Sweet potato,HAILAKANDI,Whole year,ASSAM,1998,24.683,92.566,90,350
Sunflower,DIMAPUR,Rabi,NAGALAND,2010,25.9,93.733,590,310
Sunflower,DIMAPUR,Kharif,NAGALAND,2008,25.9,93.733,40,30
Sunflower,DIMAPUR,Rabi,NAGALAND,2007,25.9,93.733,470,490
Sunflower,DIMAPUR,Rabi,NAGALAND,2006,25.9,93.733,430,390
Sunflower,DIMAPUR,Kharif,NAGALAND,2006,25.9,93.733,260,220
Sunflower,DIMAPUR,Rabi,NAGALAND,2005,25.9,93.733,200,200
Sunflower,DIMAPUR,Kharif,NAGALAND,2005,25.9,93.733,320,200
Sunflower,DIMAPUR,Rabi,NAGALAND,2004,25.9,93.733,100,200
Sunflower,DIMAPUR,Kharif,NAGALAND,2004,25.9,93.733,300,200
Sunflower,DIMAPUR,Rabi,NAGALAND,2003,25.9,93.733,140,140
Sunflower,DIMAPUR,Kharif,NAGALAND,2003,25.9,93.733,410,430
Sunflower,DIMAPUR,Rabi,NAGALAND,2002,25.9,93.733,230,630
Sunflower,DIMAPUR,Kharif,NAGALAND,2002,25.9,93.733,990,2260
Sunflower,DIMAPUR,Rabi,NAGALAND,2001,25.9,93.733,450,600
Sunflower,DIMAPUR,Kharif,NAGALAND,2001,25.9,93.733,230,260
Sunflower,DIMAPUR,Rabi,NAGALAND,2000,25.9,93.733,200,230
Sunflower,DIMAPUR,Kharif,NAGALAND,2000,25.9,93.733,780,580
Sugarcane,DIMAPUR,Kharif,NAGALAND,2010,25.9,93.733,1100,47840
Sugarcane,DIMAPUR,Kharif,NAGALAND,2008,25.9,93.733,1020,43960
Sugarcane,DIMAPUR,Kharif,NAGALAND,2007,25.9,93.733,1900,104640
Sugarcane,DIMAPUR,Whole year,NAGALAND,2006,25.9,93.733,2360,135880
Sugarcane,DIMAPUR,Whole year,NAGALAND,2005,25.9,93.733,2120,160100
Sugarcane,DIMAPUR,Whole year,NAGALAND,2004,25.9,93.733,1180,126040
