1980,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,2160,2,LBS. ,3400
1980,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,125280,1,LBS. ,63000
1980,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2160,14,COL. ,30000
1980,113999,BARLEY UNSPECIFIED ,1,Alameda ,4975,1.14,5671,121,TONS ,684000
1980,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,17,  ,  ,  ,TONS ,113000
1980,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6638000
1980,314999,CAULIFLOWER UNSPECIFIED ,1,Alameda ,2200,3.93,8650,460,TONS ,3981000
1980,604999,CHICKENS BROILERS ,1,Alameda ,  ,  ,  ,  ,  ,2016000
1980,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,263000
1980,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,3980,  ,  ,  ,  ,1001000
1980,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,260000
1980,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1203000
1980,867209,FLOWERS CHRYSNTH. UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  ,223000
1980,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,4847000
1980,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,1077000
1980,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,7966000
1980,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,22,  ,  ,  ,  ,15000
1980,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,92000
1980,216299,GRAPES WINE ,1,Alameda ,1660,2.36,3918,542,TONS ,2125000
1980,181999,HAY ALFALFA ,1,Alameda ,550,5.12,2816,85,TONS ,238000
1980,188499,HAY GRAIN ,1,Alameda ,8775,1.88,16497,62,TONS ,1028000
1980,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,80000
1980,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,333000
1980,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,6133000
1980,866999,NURSERY PLANTS POT'D UNSP ,1,Alameda ,  ,  ,  ,  ,  ,5985000
1980,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,4635000
1980,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,2190000
1980,194599,PASTURE IRRIGATED ,1,Alameda ,1465,  ,  ,  ,  ,85000
1980,194699,PASTURE RANGE ,1,Alameda ,192600,  ,  ,  ,  ,1953000
1980,411999,SHEEP ,1,Alameda ,  ,  ,  ,  ,  ,86000
1980,132999,SUGAR BEETS ,1,Alameda ,560,17.38,9733,48,TONS ,463000
1980,378199,TOMATOES FRESH MARKET ,1,Alameda ,37,10,370,214,TONS ,79000
